Simulation,FS,FS,GI,GI
Hemisphere,Arctic,Antarctic,Arctic,Antarctic
total ice area (km^2),6655882.607364176,7590062.62824471,8165615.646831363,15668978.396692066
total ice extent (km^2),8454609.760756,11249591.639208,9891786.30664,16279873.023336
total ice volume (m^3),7613432601885.503,2962596828789.6816,12212530267523.096,10662046768920.615
total snw volume (m^3),8345820363.158554,677458567498.7483,13009660419.047083,2340530458661.4473
tot kinetic energy (J),61153371663809.98,25497573634615.125,87024847666584.31,87970755789542.53
rms ice speed (m/s),0.13944192714068718,0.16787227698836946,0.12534866969676256,0.1583610190078897
average albedo,,,,
max ice thickness (m),8.14296817779541,4.937392711639404,8.29149055480957,7.970672607421875
max ice speed (m/s),0.7669609190480235,0.8187179849089277,0.754973456963156,0.6739672252465204
max strength (kN/m),137.68075,118.1048671875,211.04071875,214.003375
